FID,x,y,NASIS_Pedo,overstory,undrstry,Overstory,UnderstoryConifer,Oi_cm,Oe_cm,Oa_cm,O_sumthk,epipedon,spod_inten,subgroup,soil_order,tex_fam,drain_cl,series,taxon_type,slope_perc,surf_tex,stoniness,depth_clas,depth_to_r,depth_cm,aspect_deg,hillsl_pos,slope_shp,tip_mnd,mu_sym,area_sym,rainfall_i,bedrock_ge,compnum,aachn,dem10m,downslpgra,eastness,greenrefl,landsatb1,landsatb2,landsatb3,landsatb7,maxc100,maxent,minc100,mirref,ndvi,northeastn,northness,northwestn,planc100,proc100,protection,relpos11,slp50,solar,tanc75
48,-79.727194,38.615667,10WV075UELOV009,"PIRU,PRSE2,QUPR2",(plantation),Mixed,n,3,1,1,5,ochric,0,typic,inceptisol,cl,wd,Steinsburg,series,29,grl,stv,d,200,98,336,backslope,ll,0,MfE,WV075,51,Dhs,1,72.053299,1191.099976,44.7775002,-0.505219,0.0794935,0.0726255,0.0546671,0.0301169,0.0194912,0.0634638,85.7138977,-0.0956045,0.0349539,0.717904,0.252978,0.862991,0.967472,-0.0420726,0.0111661,0.0894547,0.517502,21.4270992,1291550,0.0070983
49,-79.741278,38.615889,10WV075UELSP002,"TSCA,FAGR,BEALA","PIRU,KALA,TSCA",Mixed,y,4,4,8,16,folistic,2,--,spodosol,l-sk,wd,Gauley,series,23,sl,stv,md,200,90,29,backslope,--,0,MfF,WV075,51,Dch,3,55.0629997,1113.579956,34.821701,-0.996352,0.0388098,0.0694003,0.0583132,0.0401785,0.0387348,0.102057,96.6460037,-0.0389959,0.0935149,0.720246,-0.64419,0.0853348,0.764865,0.0120202,0.0741327,0.125904,0.601986,26.2597008,1357620,-0.0034707
50,-79.669667,38.615278,10WV075UARSP007,"PIRU,ACSA3,TSCA",KALA,Mixed,n,1,4,2,7,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,50,cnxl,stx,md,200,75,242,backslope,--,0,MfF,WV075,51,Dch,4,23.2572994,1069.51001,23.3183994,-0.703029,0.107232,0.0726255,0.052844,0.0301169,0.0301821,0.265928,46.7501984,0.0527029,0.0414607,0.780605,-0.999983,-0.711161,-0.0057544,0.267752,0.119564,0.210435,0.487628,43.5228004,1469780,-0.0917233
51,-79.670139,38.615639,10WV075UARSP006,"PIRU,ACSA3","PIRU,FAGR",Mixed,y,3,3,0,6,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,48,cnvl,rb,md,200,88,--,backslope,--,0,MfF,WV075,51,Dch,4,18.8486004,1063.430054,27.8852005,-0.944915,0.125725,0.0694003,0.0546671,0.0250861,0.0216293,0.622519,43.2999992,-0.0423956,0.089177,0.743982,-0.899605,-0.327316,0.436704,0.579856,0.0925392,0.193218,0.504748,31.1261997,1425780,-0.218013
52,-79.671667,38.616583,10WV075UAROV006,"ACRU,FAGR,PRSE2,ACSA3","FAGR,ACSA3",Hardwood,n,8,2,3,13,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,47,cnvsil,stv,md,200,93,--,backslope,cc,0,MfF,WV075,51,Dch,4,17.4666004,1057.650024,28.0788002,0.579065,0.170107,0.0758507,0.0601362,0.0368246,0.0494257,0.109356,9.0518999,-0.332529,0.234495,0.717788,-0.167027,-0.815281,-0.985952,0.128773,-0.262134,0.270761,0.381264,44.2612,1466330,0.0668062
53,-79.673084,38.616611,10WV075UARSP010,"PIRU,FAGR,BEALA,ACSA3","PIRU,FAGR",Mixed,y,5,3,2,10,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,50,cnl,rb,md,200,93,222,backslope,--,0,MfF,WV075,51,Dch,4,16.1436996,1047.619995,22.4575005,-0.608805,0.109082,0.0790758,0.0656054,0.0401785,0.0301821,0.211329,46.1092987,-0.151927,0.119542,0.799925,-0.991451,-0.79332,-0.130476,0.235621,-0.18277,0.236839,0.34906,50.2468987,1461000,-0.132525
54,-79.736416,38.618,10WV075UELOV017,"ACSA3,PRSE2,ACRU",FAGR,Hardwood,n,0,0,0,0,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,28,sil,ns,d,200,125,128,backslope,vv,0,MfE,WV075,51,Dch,4,36.4278984,1098.550049,36.3998985,0.88838,0.0850413,0.0726255,0.0583132,0.0351477,0.0601166,-0.0228293,32.7818985,-0.201765,0.158583,0.746334,0.303543,-0.459109,-0.952818,-0.173556,-0.0239325,0.171409,0.489089,30.2318993,1455270,0.0588161
55,-79.742917,38.618583,10WV075UELOV018,"BEALA,TSCA,ACSA3",FAGR,Mixed,n,4,2,7,13,ochric,1,spodic,inceptisol,fragm,wd,SND,family,47,cnxsil,stx,d,200,105,--,backslope,cc,0,MfF,WV075,51,Dch,5,3.8007801,1030.949951,84.0952988,-0.941761,0.142368,0.0790758,0.0564901,0.0334708,0.0472875,-0.202958,16.2140007,-0.546279,0.247509,0.822574,-0.428141,0.336284,0.903712,-0.216318,-0.646787,0.251393,0.205582,37.6063004,1196300,0.106041
56,-79.728852,38.620403,10WV075UELOV010,"PRSE2,TSCA,FAGR","TSCA,BEALA,FAGR",Mixed,y,4,3,3,10,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,29,cnxsl,stx,md,200,98,14,backslope,lv,0,MfE,WV075,51,Dhs,4,23.0373993,1125.180054,45.797699,-0.217397,0,0.0726255,0.051021,0.0301169,0.040873,-0.0411201,13.3832998,-0.0654201,0.0045889,0.812594,0.536468,0.976083,0.843921,-0.055279,-0.0708726,0.121946,0.460115,23.4104004,1241540,0.0122614
57,-79.730305,38.623889,10WV075UELSP006,"BEALA,TSCA,PIRU,FAGR","RHODO,KALA,TSCA",Mixed,y,2,7,8,17,folistic,2,--,spodosol,cl,wd,Blandburg,taxadjunct,23,l,ns,d,200,115,29,backslope,ll,0,MfE,WV075,51,Dch,3,8.8695097,1088.849976,58.9325981,-0.980324,0.0813428,0.0742381,0.0583132,0.0301169,0.0472875,-0.0023387,70.5593033,-0.113569,0.126049,0.761378,-0.553616,0.197397,0.832772,-0.0066997,-0.0867498,0.108698,0.41102,18.9659004,1360470,0.0044392
58,-79.801055,38.625611,10WV075IBROV007,PRSE2,"FAGR,ACPE",Hardwood,n,0,0,0,0,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,15,cnsil,stx,md,200,85,--,shoulder,vl,0,MfE,WV075,51,Dhs,4,94.6147003,1016.580017,36.1935997,0.187371,0.110931,0.0742381,0.0583132,0.0368246,0.0472875,0.403335,8.2916002,0.0199092,0.167258,0.822842,-0.56209,-0.982289,-0.827076,-0.0042753,0.410476,0.0782904,0.779608,22.1595001,1496090,-0.0059734
59,-79.744167,38.625555,10WV075UELOV011,"PRSE2,BEALA,TSCA,QURU","FAGR,ACRU,BEALA",Mixed,n,3,0,0,3,ochric,2,--,spodosol,cl,wd,Wildell,taxadjunct,33,sil,st,md,200,60,33,backslope,vl,0,MfF,WV075,51,Dch,3,3.09027,994.1339722,54.1421013,-0.977955,0.257022,0.0758507,0.0601362,0.0317938,0.0472875,-0.100816,15.6328001,-1.0828,0.310407,0.827197,-0.543868,0.208815,0.83917,-0.12101,-0.966672,0.260308,0.129465,29.7481003,1238140,0.0296972
60,-79.806167,38.627111,10WV075IBROV001,"BEALA,PRSE2",FAGR,Hardwood,n,4,2,0,6,ochric,0,typic,inceptisol,l-sk,wd,Macove,taxadjunct,28,cnvl,stv,vd,200,160,315,footslope,cl,0,MfF,WV075,51,Dhs,6,10.8940001,908.6480103,46.6590004,-0.589302,0.0018246,0.0710129,0.0564901,0.0301169,0.0280439,-0.115306,2.904,-0.482257,0.0176025,0.794043,0.154576,0.807913,0.987981,-0.354502,-0.151124,0.191021,0.31551,23.6485004,1198330,0.11729
61,-79.729222,38.627278,10WV075UELSP001,"FAGR,TSCA,PIRU,BEALA","ACPE,TSCA,FAGR",Mixed,y,3,6,6,15,folistic,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,13,cnvl,ns,md,200,87,277,backslope,vl,0,MfF,WV075,51,Dch,4,6.2515898,1070.540039,56.6925011,-0.997585,0.0517546,0.0726255,0.052844,0.0334708,0.0301821,-0.0455096,83.8078995,-0.20379,0.0241093,0.767906,-0.656294,0.0694507,0.754506,-0.1438,-0.0812682,0.132813,0.410813,16.6411991,1371980,0.026822
62,-79.801,38.62825,10WV075IBROV013,"BEALA,FAGR,TSCA",--,Mixed,n,3,2,5,10,ochric,2,--,spodosol,fl,wd,Wildell,taxadjunct,40,cnl,stv,md,200,55,35,backslope,lv,0,MfF,WV075,51,Dhs,3,29.7161999,943.7219849,31.4993992,-0.163963,0.0628502,0.0742381,0.0583132,0.0301169,0.0344584,-0.171879,6.9239998,-0.618926,0.0566431,0.794489,0.581593,0.986467,0.81348,-0.413988,-0.314205,0.225815,0.406937,40.9625015,1030540,0.197896
63,-79.716925,38.627791,FS09WV075007,"TSCA,PIRU","RHODO,FAGR",Conifer,n,3,3,8,14,ochric,2,--,spodosol,l-sk,wd,Wildell,taxadjunct,41,cnvl,st,d,200,130,330,backslope,vl,2,MfE,WV075,51,Dhs,3,18.7698002,1095.410034,42.3409996,-0.703198,0.0739457,0.0742381,0.051021,0.02844,0.040873,0.157019,39.6925011,-0.0389742,0.136893,0.817195,0.0055067,0.710994,0.999985,0.104945,-0.0137678,0.118282,0.483993,23.9389,1263250,-0.0275808
64,-79.791472,38.631528,10WV075IBROV008,"PRSE2,TSCA","TSCA,FAGR",Mixed,y,3,2,0,5,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,30,sil,stv,md,200,68,245,backslope,vl,0,MfF,WV075,51,Dch,4,16.0995998,956.4869995,55.2016983,-0.997943,0.142368,0.0742381,0.0583132,0.0385015,0.0387348,0.343846,5.6803002,-0.175575,0.173765,0.790209,-0.66033,0.0641006,0.750976,0.362841,-0.174201,0.166953,0.39789,24.4246998,1322640,-0.0998743
65,-79.728056,38.632555,10WV075UELSP009,"PIRU,TSCA,BEALA","FAGR,PIRU",Mixed,y,4,5,10,11.7,folistic,1,spodic,inceptisol,cl,wd,Mandy,taxadjunct,31,l,ns,md,200,92,318,backslope,--,0,MfF,WV075,51,Dch,4,16.8101006,1057.26001,41.5803986,-0.934723,0.118328,0.0726255,0.0546671,0.0301169,0.0323202,0.0626348,46.8568001,-0.0591493,0.156414,0.782691,-0.409665,0.355376,0.912236,0.0570558,-0.0697313,0.14405,0.404291,27.3729992,1278770,-0.023976
66,-79.762026,38.633011, ,"PRSE2,ACSA3,QURU, FRAM2,TIAM","FAGR,ASCA3, POAC4",Hardwood,n,1,0,0,1,ochric,0,typic,ultisol,fl,wd,Kinzua,series,48,sil,stv,d,200,117,135,backslope,ll,1,MfF,WV075,51,Dch,6,17.9487991,943.1049805,22.0986004,0.663372,0.083192,0.0726255,0.0583132,0.0401785,0.0622548,0.184264,4.7431002,-0.0917664,0.214975,0.836483,-0.0600433,-0.74829,-0.998196,0.200161,-0.26329,0.223823,0.249379,44.4067001,1452530,-0.0929242
67,-79.787666,38.63375,10WV075IBROV002,"PRSE2,TSCA,BEALA","FAGR,TSCA",Mixed,y,4,2,2,8,ochric,0,typic,inceptisol,l-sk,wd,Kinzua,taxadjunct,20,sil,ns,d,200,115,25,footslope,lv,0,MfF,WV075,51,Dch,6,0,958.8729858,76.0848007,-0.593832,0.116479,0.0758507,0.0601362,0.0334708,0.0451493,-0.0275866,7.4452,-1.08322,0.134724,0.825993,0.149023,0.804589,0.988834,-0.708581,-0.194934,0.195556,0.299871,12.1099997,1314120,0.0973835
68,-79.793083,38.634222,10WV075IBROV005,"PRSE2,ACSA3",FAGR,Hardwood,n,4,1,0,5,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,30,sil,stv,md,200,82,17,backslope,vl,0,MfF,WV075,51,Dch,4,45.7621002,986.9520264,36.1511993,0.619149,0.0462069,0.0806884,0.0601362,0.0334708,0.0472875,0.357787,6.4528999,-0.106627,0.117373,0.837891,-0.117465,-0.785273,-0.993077,0.371609,-0.112577,0.128714,0.44801,30.1882992,1502650,-0.0990501
69,-79.795417,38.634361,10WV075IBROV014,"ACSA3,PRSE2",FAGR,Hardwood,n,3,1,0,4,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,38,sil,stv,md,200,70,16,backslope,ll,0,MfF,WV075,51,Dhs,4,67.5137024,1007.429993,23.2712002,0.489513,0.116479,0.0806884,0.0601362,0.0368246,0.0579784,-0.128234,2.8127999,-0.466526,0.219313,0.820893,-0.270453,-0.871996,-0.962733,-0.455891,-0.16615,0.181331,0.434374,41.2859001,1489090,0.185799
70,-79.79275,38.636611,10WV075IBROV009,"BEALA,ACSA3",FAGR,Hardwood,n,3,2,0,5,ochric,2,--,spodosol,fl,wd,Wildell,taxadjunct,10,l,stv,md,200,80,1,summit,vl,0,MfE,WV075,51,Dch,3,100.5279999,1046.979981,28.9011002,0.947841,0.147916,0.0758507,0.0583132,0.0334708,0.0494257,1.2179101,43.4676018,0.300794,0.186779,0.827238,0.444842,-0.318743,-0.895609,0.22383,1.2254,0.0095556,0.992688,9.4791899,1418530,-0.0327162
71,-79.793778,38.638556,10WV075IBRSP010,"TSCA,PIRU,BEALA,MAFR","FAGR,TSCA",Mixed,y,5,3,10,18,folistic,2,--,spodosol,l-sk,wd,Wildell,series,28,cnvl,stv,d,200,105,1,backslope,vv,0,MfF,WV075,51,Dch,3,31.5424004,976.1859741,27.5098991,-0.313276,0,0.0710129,0.0546671,0.0317938,0.0365966,0.113325,31.1415005,0.0052692,0,0.792234,0.449988,0.949662,0.893035,0.0719382,0.0403212,0.165714,0.447297,37.5783997,1099940,-0.0582306
72,-79.777222,38.638472,10WV075IBROV016,"ACSA3,BEALA,TSCA,PRSE2",FAGR,Mixed,n,3,1,0,4,ochric,0,typic,ultisol,fl,swp,Frewsburg,taxadjunct,30,cnsil,stv,md,31,60,355,backslope,--,0,MfF,WV075,51,Dch,7,8.7668505,1007.950012,40.5796013,-0.512765,0.107232,0.0726255,0.051021,0.0351477,0.0387348,0.0826568,10.5740004,-0.287624,0.175934,0.844907,0.244487,0.858529,0.969653,0.0206571,-0.1673,0.205985,0.281936,30.2329006,1139530,0.0116126
73,-79.788334,38.63975,10WV075IBRSP008,"PIRU,TSCA,FAGR,BEALA","ACPE,PRSE2,BEALA",Mixed,n,2,2,5,9,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,38,cnl,ns,md,200,80,32,backslope,--,0,MfF,WV075,51,Dch,4,17.5587006,976.2609863,34.1512985,-0.682606,0.186751,0.0726255,0.0601362,0.0334708,0.0430111,0.0282069,36.4681015,-0.293373,0.18461,0.730748,0.0340641,0.730787,0.99942,0.0274916,-0.356722,0.180403,0.321663,37.2685013,1149380,-0.0015781
74,-79.800334,38.640667,10WV075IBRSP003,"PIRU,TSCA,BEALA,MAFR","PRSE2,TSCA,MAFR",Mixed,y,2,6,12,20,folistic,2,--,spodosol,l-sk,wd,Wildell,series,18,cnvl,stv,md,200,90,288,backslope,ll,0,MfE,WV075,51,Dch,3,10.9174004,934.2750244,51.9310989,-0.977875,0.0517546,0.0710129,0.0564901,0.0317938,0.0430111,-0.0093781,9.6401997,-0.0928577,0.113035,0.74796,-0.543548,0.209188,0.839378,-0.0119851,-0.178153,0.15159,0.321243,22.3090992,1315820,-0.0035548
75,-79.780916,38.641083,10WV075IBROV015,"ACSA3,BEALA,PRSE2,ACRU",FAGR,Hardwood,n,3,0,0,3,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,37,l,ns,md,200,80,21,backslope,lv,0,MfF,WV075,51,Dch,4,38.389801,1031.609985,24.9608994,-0.351808,0.0166187,0.0758507,0.0583132,0.0334708,0.0515639,0.104917,11.4611998,-0.0251221,0.0805013,0.814751,-0.910667,-0.936072,-0.413141,0.090943,0.0089765,0.15611,0.541952,42.1287003,1524450,-0.030522
76,-79.798393,38.642836,10WV075IBRSP004,"PIRU,TSCA,ACRU,BEALA","MAFR,PRSE2,PIRU",Mixed,y,3,3,5,11,ochric,2,--,spodosol,l-sk,wd,Wildell,series,23,cnvl,stv,md,200,90,29,backslope,ll,0,MfE,WV075,51,Dhs,3,34.3726006,961.7680054,45.7508011,-0.948458,0.107232,0.0742381,0.052844,0.0334708,0.0301821,0.0306243,13.6150999,-0.182662,0.132555,0.765633,-0.446581,0.316904,0.894743,0.0151465,-0.150032,0.13058,0.364355,22.5296001,1314100,-0.0124712
77,-79.777396,38.645445,10WV075IBROV019,"FAGR,BEALA,ACSA3","PIRU,PRSE2,ACPE",Hardwood,y,4,2,0,6,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,54,cnvsil,stv,md,200,60,2,backslope,lv,0,MfF,WV075,51,Dch,4,32.5971985,1043.099976,22.0135002,-0.0390729,0.0610009,0.0710129,0.0546671,0.0301169,0.0301821,0.014708,3.5625999,-0.179406,0.0761635,0.790393,0.678934,0.999236,0.7342,-0.0836267,-0.029013,0.198346,0.544886,47.6254005,979182,0.0103395
78,-79.799916,38.645972,10WV075IBRSP001,"PIRU,TSCA,MAFR,ACRU",--,Mixed,n,5,4,0,9,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,23,cnvl,ns,d,200,115,332,backslope,ll,0,MfE,WV075,51,Dhs,4,44.925499,955.414978,27.9123001,-0.75682,0,0.0726255,0.0546671,0.02844,0.0237675,0.670559,4.6750002,0.392403,0,0.7564,-0.0729759,0.653623,0.997334,0.598224,0.47836,0.0860147,0.728032,26.5240002,1270030,-0.182572
79,-79.770917,38.647056,10WV075IBROV010,"ACSA3,PRSE2,BEALA","ACPE,ACSA3,PRSE2",Hardwood,n,3,4,0,7,ochric,0,typic,ultisol,fl,mwd,Frewsburg,taxadjunct,25,sil,stv,md,31,70,2,backslope,lc,0,MfF,WV075,51,Dch,7,70.9128036,1069.699951,40.8437996,-0.349817,0.0794935,0.0742381,0.0601362,0.0301169,0.0494257,0.0817706,8.8341999,-0.178656,0.156414,0.774034,0.415067,0.936818,0.909791,-0.14159,-0.129748,0.177543,0.387942,25.9612999,1208710,0.0075599
80,-79.777611,38.647556,10WV075IBROV011,"FAGR,PRSE2,ACSA3","ACPE,PRSE2,ACSA3",Hardwood,n,7,0,0,7,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,46,cnl,stv,md,200,85,186,shoulder,ll,0,MfF,WV075,51,Dch,4,57.6917,1052.890015,26.2686996,-0.145546,0,0.0710129,0.0601362,0.0368246,0.0430111,0.543566,26.9267998,-0.0681981,0,0.789629,-0.802492,-0.989351,-0.596663,-0.0097822,0.580039,0.132443,0.811607,33.7071991,1526670,0.0185936
81,-79.773778,38.647945,10WV075IBROV020,"ACSA3,BEALA,PRSE2,MAFR","FAGR,ACSA3,PIRU",Hardwood,y,3,2,0,5,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,33,cnsil,stv,md,200,90,1,backslope,--,0,MfF,WV075,51,Dch,4,47.446701,1042.800049,33.858799,-0.115497,0.0166187,0.0726255,0.0564901,0.0317938,0.0451493,-0.0818726,3.2467999,-0.543492,0.0761635,0.834086,0.620701,0.993308,0.784047,-0.409955,-0.232066,0.205926,0.412451,35.9135017,1115280,0.126228
82,-79.79127,38.648401,FS09WV075003,"PIRU,TSCA,FAGR,ACRU",--,Mixed,n,3,13,6,22,folistic,2,--,spodosol,l-sk,wd,Wildell,series,25,cnl,ns,d,200,107,250,backslope,--,1,MfE,WV075,51,Dch,3,12.3421001,981.6920166,31.6944008,-0.814068,0.146067,0.0774633,0.049198,0.0334708,0.040873,0.483933,38.8350983,0.308864,0.210637,0.703314,-0.9863,-0.580769,0.164963,0.495387,0.252479,0.14089,0.526737,26.0603008,1433000,-0.138072
83,-79.795973,38.648861,10WV075IBRSP005,"PIRU,TSCA,BEALA,FAGR","FAGR,PIRU,BEALA",Mixed,y,2,5,7,14,ochric,2,--,spodosol,l-sk,wd,Gauley,series,28,cnvsl,stv,md,200,94,298,backslope,cc,0,MfF,WV075,51,Dch,3,7.5675001,952.6350098,34.3596001,-0.667933,0,0.0710129,0.0583132,0.0301169,0.0387348,0.191275,26.4608002,-0.0552855,0.0566431,0.77606,-0.998544,-0.744222,-0.0539484,0.196514,0.0352481,0.180325,0.475432,33.7144012,1452230,-0.0519161
84,-79.763283,38.649097,10WV075IBROV003,"FAGR,ACRU,PRSE2",FAGR,Hardwood,n,3,2,5,10,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,30,cnl,ns,md,200,70,274,backslope,lv,0,MfE,WV075,51,Dhs,4,60.7419014,1063.27002,36.9450989,-0.314878,0.0942876,0.0710129,0.051021,0.02844,0.0387348,0.741489,30.1375999,0.225289,0.104359,0.773702,0.448481,0.949132,0.893793,0.35342,0.607786,0.0812834,0.783199,20.4832993,1251300,-0.0734222
85,-79.777555,38.649833,10WV075IBROV004,"FAGR,ACSA3,PRSE2,MAFR","FAGR,PIRU",Hardwood,y,3,1,7,11,ochric,2,--,spodosol,fl,wd,Wildell,taxadjunct,29,l,ns,d,200,115,27,backslope,vv,0,MfE,WV075,51,Dch,3,31.5699005,1009.200012,30.1250992,-0.884458,0.0702472,0.0694003,0.0583132,0.0368246,0.0430111,0.15002,22.8561001,-0.130289,0.110866,0.818647,-0.955358,-0.46662,0.295452,-0.0550724,0.13877,0.19336,0.54682,34.8083992,1340880,0.0395042
86,-79.767583,38.651278,10WV075IBROV012,"TSCA,PIRU,FAGR,ACRU","TSCA,PIRU,FAGR",Mixed,y,3,1,10,14,ochric,2,--,spodosol,fl,wd,Wildell,taxadjunct,18,cnl,stv,md,200,67,335,backslope,--,0,MfE,WV075,51,Dch,3,47.3907013,1036.380005,47.7830009,-0.692926,0.0794935,0.0726255,0.0564901,0.0334708,0.0430111,0.0287325,23.2688007,-0.2833,0.0566431,0.81451,0.019852,0.721009,0.999803,-0.030871,-0.160196,0.126834,0.507715,27.0508003,1207030,0.0195021
87,-79.780195,38.652027,10WV075IBRSP002,"PIRU,TSCA,ACRU,MAFR","MAFR,BEALA,PIRU,ACPE",Mixed,y,2,5,11,18,folistic,2,--,spodosol,l-sk,wd,Wildell,series,43,cnl,stv,md,200,51,338,backslope,ll,0,MfE,WV075,51,Dch,3,22.9363003,978.0549927,16.6002998,-0.613854,0.133122,0.0694003,0.0564901,0.0301169,0.0301821,0.719202,38.4150009,0.206941,0.128218,0.757713,0.124138,0.78942,0.992265,0.679272,0.428022,0.182869,0.539917,47.6165009,986189,-0.214509
88,-79.765913,38.651929,10WV075IBROV006,"PIRU,TSCA,PRSE2","ACRU,FAGR",Mixed,n,3,4,0,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,45,cnl,stv,sh,200,46,14,backslope,--,0,MfF,WV075,51,Dch,4,38.0275993,1030.170044,23.5900002,0.377417,0.090589,0.0726255,0.0583132,0.0301169,0.040873,0.424941,5.559,0.373005,0.147738,0.842146,0.921685,0.926043,0.387938,0.439586,0.354571,0.128085,0.64917,37.1082993,1128210,-0.168844
89,-79.763917,38.652528,10WV075IBRSP006,"TSCA,PIRU,BEALA,FAGR","TSCA,ACRU",Mixed,y,2,2,22,26,folistic,2,--,spodosol,l-sk,wd,Wildell,series,23,cnl,ns,md,200,80,282,backslope,vv,0,MfE,WV075,51,Dch,3,13.9829998,1014.820007,35.6422005,-0.994702,0,0.0774633,0.0546671,0.0368246,0.0344584,0.298215,35.7084007,0.139356,0,0.730748,-0.776052,-0.102797,0.630669,0.31048,0.127989,0.13699,0.51873,27.8337002,1355570,-0.0872801
90,-79.788306,38.65375,10WV075IBROV018,"FAGR,TSCA,ACRU,PIRU","FAGR,TSCA",Mixed,y,2,1,0,3,ochric,0.5,typic,ultisol,fl,wd,Kinzua,series,17,cnl,stv,d,200,115,18,footslope,ll,0,MfF,WV075,51,Dch,6,5.7775302,949.6290283,137.7539978,-0.121699,0.0850413,0.0758507,0.0583132,0.0351477,0.0472875,0.0111178,7.4642,0.0465621,0.16292,0.819365,-0.787903,-0.992567,-0.615799,-0.0006857,-0.0397788,0.184813,0.240918,23.1632004,1481800,-0.0158591
91,-79.758833,38.653583,10WV075IBROV017,"ACRU,PRSE2,FAGR",FAGR,Hardwood,n,5,2,2,9,ochric,0,typic,ultisol,fl,wd,Carrollton,series,30,l,ns,md,200,81,277,backslope,vv,0,MfE,WV075,51,Dch,2,44.6594009,1067.540039,34.8177986,-0.835394,0.109082,0.0758507,0.0619593,0.0368246,0.0387348,0.413533,17.3868008,-0.0905785,0.178103,0.827197,-0.979376,-0.549651,0.202047,0.410717,-0.0600619,0.130069,0.476412,28.8668995,1448830,-0.155969
92,-79.800583,38.654278,10WV075IBRSP007,"TSCA,PIRU,ACRU,PRSE2",RHODO,Mixed,n,2.5,1.5,3,7,ochric,2,--,spodosol,l-sk,wd,Blandburg,series,37,cnvl,stv,d,200,105,314,backslope,ll,0,MfF,WV075,51,Dch,3,25.1576996,936.1489868,27.0079002,-0.891762,0.0646994,0.0742381,0.0564901,0.02844,0.0344584,0.132059,15.1393003,0.0540852,0.0219403,0.811009,-0.310606,0.452505,0.950539,0.140358,0.0671592,0.17296,0.489041,37.803299,1195680,-0.0673007
93,-79.736555,38.654346, ,"PIRU,ACRU",ACPS2,Mixed,n,5,5,0,10,ochric,2,--,spodosol,fl,wd,Wildell,taxadjunct,47,sil,st,d,200,133,270,backslope,vv,2,MfF,WV075,54,Dch,3,6.1774902,985.302002,31.1088009,-0.968841,0.125725,0.0710129,0.0546671,0.0368246,0.0451493,0.253519,30.6044998,-0.0984055,0.180272,0.778344,-0.860214,-0.247683,0.509933,0.214016,-0.281392,0.22371,0.268055,33.2991982,1318990,-0.118977
94,-79.777361,38.655417,10WV075IBRSP009,"PIRU,TSCA,FAGR,BEALA","TSCA,FAGR,PIRU",Mixed,y,4,4,33,41,folistic,2,--,histosols,l-sk,wd,SND,family,36,cnvl,ns,md,200,90,--,backslope,cc,0,MfE,WV075,51,Dch,5,25.7334995,983.4500122,35.8748016,-0.999804,0.114629,0.0726255,0.051021,0.0317938,0.0323202,0.252962,39.0493011,0.0522987,0.178103,0.769738,-0.692982,0.0197836,0.720954,0.180684,0.175583,0.145547,0.615227,27.0604992,1333630,-0.0772354
95,-79.737537,38.655186, ,"ACRU,PRSE2, BEALA","FAGR, PIRU, SMILA2",Hardwood,y,5,0,0,5,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,32,grsil,stv,md,200,90,110,backslope,vv,2,MfF,WV075,54,Dch,4,16.9591999,1005.900024,25.8899002,0.857458,0.0295635,0.0774633,0.0601362,0.0301169,0.0579784,0.40171,61.6402016,0.115417,0.1434,0.83206,0.242472,-0.514554,-0.970158,0.426045,0.0881259,0.213685,0.454541,35.9243011,1381990,-0.129703
96,-79.630488,38.662016,11WV083SKBMOV018,"FAGR,ACSA3",PIRU,Hardwood,y,1,0,3,4,ochric,2,ultic,spodosol,fl,wd,Blandburg,taxadjunct,6,sil,ns,vd,200,160,320,backslope,cc,0,BgC,WV603,53,Dch,3,14.1062002,1216.060059,72.4263992,-0.826343,0.103534,0.0742381,0.0656054,0.05024,0.053702,0.0093128,22.6198997,-0.0071051,0.191116,0.827151,-0.186098,0.563168,0.982531,-0.0077462,-0.006507,0.0744492,0.294065,7.0480399,1392780,-0.0000631
